entity,vertex_name,vertex_id,vertex_central,edge_type,directed,entity2,vertex_name2,vertex_id2
prior_market_sale_seller_1_first_mid,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_seller_1_last,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_seller_1_code,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_seller_1_code_desc,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_seller_2_first_mid,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_seller_2_last,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_buyer_1_first_mid,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_buyer_1_last,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_buyer_1_code,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_buyer_1_code_desc,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_buyer_2_first_mid,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_buyer_2_last,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_buyer_2_code,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_buyer_2_code_desc,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_page,leftschema,vtx_type-bpby,False,,,,,
prior_market_sale_rcdrs_map_ref,leftschema,vtx_type-bpby,False,,,,,
no_val_date_transfer,leftschema,vtx_type-bpby,False,,,,,
date_noval_transfer,leftschema,vtx_type-bpby,False,,,,,
doc_type_noval,leftschema,vtx_type-bpby,False,,,,,
book_noval_transfer,leftschema,vtx_type-bpby,False,,,,,
doc_type_noval_desc,leftschema,vtx_type-bpby,False,,,,,
page_noval_transfer,leftschema,vtx_type-bpby,False,,,,,
assessee_owner_1_indicator,leftschema,vtx_type-bpby,False,,,,,
assessee_owner_2_indicator,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_care_of_name_indicator,leftschema,vtx_type-bpby,False,,,,,
assessee_owner_1_name_type,leftschema,vtx_type-bpby,False,,,,,
assessee_owner_2_name_type,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_care_of_name_type,leftschema,vtx_type-bpby,False,,,,,
date_cert,leftschema,vtx_type-bpby,False,,,,,
assr_sqft,leftschema,vtx_type-bpby,False,,,,,
yr_blt_effect,leftschema,vtx_type-bpby,False,,,,,
assr_acreage,leftschema,vtx_type-bpby,False,,,,,
topography,leftschema,vtx_type-bpby,False,,,,,
topography_desc,leftschema,vtx_type-bpby,False,,,,,
lot_width,leftschema,vtx_type-bpby,False,,,,,
lot_depth,leftschema,vtx_type-bpby,False,,,,,
cbsa_code,leftschema,vtx_type-bpby,False,,,,,
avm_value,leftschema,vtx_type-bpby,False,,,,,
property_id,leftschema,vtx_type-bpby,False,,,,,
location_id,leftschema,vtx_type-bpby,False,,,,,
address_id,leftschema,vtx_type-bpby,False,,,,,
property_dmp_id,leftschema,vtx_type-bpby,False,,,,,
parcel_dmp_id,leftschema,vtx_type-bpby,False,,,,,
geobounds,mergedschema,vtx_type-fifm,False,,,,,
geo_ewkb,mergedschema,vtx_type-fifm,False,,,,,
fips_code,mergedschema,vtx_type-fifm,False,,,,,
fips_muni_code,mergedschema,vtx_type-fifm,False,,,,,
fips_state_code,mergedschema,vtx_type-fifm,False,,,,,
parcel_apn,mergedschema,vtx_type-fifm,False,,,,,
master_parcel_apn,mergedschema,vtx_type-fifm,False,,,,,
county,mergedschema,vtx_type-fifm,False,,,,,
taxapn,mergedschema,vtx_type-fifm,False,,,,,
taxapn_unf,mergedschema,vtx_type-fifm,False,,,,,
unique_taxapn,mergedschema,vtx_type-fifm,False,,,,,
alternate_taxapn,mergedschema,vtx_type-fifm,False,,,,,
dupe_taxapn_seq,mergedschema,vtx_type-fifm,False,,,,,
multi_taxapn_flag,mergedschema,vtx_type-fifm,False,,,,,
site_addr,mergedschema,vtx_type-fifm,False,,,,,
site_house_number,mergedschema,vtx_type-fifm,False,,,,,
site_direction,mergedschema,vtx_type-fifm,False,,,,,
site_street_name,mergedschema,vtx_type-fifm,False,,,,,
site_mode,mergedschema,vtx_type-fifm,False,,,,,
site_carrier_code,mergedschema,vtx_type-fifm,False,,,,,
site_quadrant,mergedschema,vtx_type-fifm,False,,,,,
site_unit_prefix,mergedschema,vtx_type-fifm,False,,,,,
site_unit_number,mergedschema,vtx_type-fifm,False,,,,,
site_city,mergedschema,vtx_type-fifm,False,,,,,
site_state,mergedschema,vtx_type-fifm,False,,,,,
site_zip,mergedschema,vtx_type-fifm,False,,,,,
site_plus_4,mergedschema,vtx_type-fifm,False,,,,,
_x_coord,mergedschema,vtx_type-fifm,False,,,,,
_y_coord,mergedschema,vtx_type-fifm,False,,,,,
geometry_source,mergedschema,vtx_type-fifm,False,,,,,
addr_score,mergedschema,vtx_type-fifm,False,,,,,
township,mergedschema,vtx_type-fifm,False,,,,,
range,mergedschema,vtx_type-fifm,False,,,,,
section,mergedschema,vtx_type-fifm,False,,,,,
census_tract,mergedschema,vtx_type-fifm,False,,,,,
census_block_group,mergedschema,vtx_type-fifm,False,,,,,
block_number,mergedschema,vtx_type-fifm,False,,,,,
owner_name,mergedschema,vtx_type-fifm,False,,,,,
owner_name_1,mergedschema,vtx_type-fifm,False,,,,,
owner_name_2,mergedschema,vtx_type-fifm,False,,,,,
owner_1_first,mergedschema,vtx_type-fifm,False,,,,,
owner_1_last,mergedschema,vtx_type-fifm,False,,,,,
owner_1_mid,mergedschema,vtx_type-fifm,False,,,,,
owner_2_first,mergedschema,vtx_type-fifm,False,,,,,
owner_2_last,mergedschema,vtx_type-fifm,False,,,,,
owner_2_mid,mergedschema,vtx_type-fifm,False,,,,,
mail_addr,mergedschema,vtx_type-fifm,False,,,,,
mail_house_number,mergedschema,vtx_type-fifm,False,,,,,
mail_house_number_suffix,mergedschema,vtx_type-fifm,False,,,,,
mail_direction,mergedschema,vtx_type-fifm,False,,,,,
mail_street_name,mergedschema,vtx_type-fifm,False,,,,,
mail_mode,mergedschema,vtx_type-fifm,False,,,,,
mail_quadrant,mergedschema,vtx_type-fifm,False,,,,,
mail_crrt,mergedschema,vtx_type-fifm,False,,,,,
mail_city,mergedschema,vtx_type-fifm,False,,,,,
mail_state,mergedschema,vtx_type-fifm,False,,,,,
